customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
WC83389,Oregon,No,Basic,Undergraduate,Employed,M,Urban,Married,Personal Auto,2,2,Branch,Four-Door Car,Midsize
FL50705,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,2,1,Call Center,Four-Door Car,Small
ZK25313,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Midsize
SV62436,Washington,No,Extended,Undergraduate,Other,F,Suburban,Divorced,Personal Auto,3,4,Call Center,Four-Door Car,Midsize
YH23384,Arizona,Yes,Basic,Undergraduate,Other,M,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Midsize
TZ98966,Nevada,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Midsize
HM55802,California,No,Basic,Undergraduate,Other,F,Suburban,Married,Corporate Auto,2,2,Branch,Four-Door Car,Midsize
FS42516,Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large
US89481,California,No,Premium,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small
HO30839,Washington,No,Extended,Postgraduate,Other,F,Urban,Married,Corporate Auto,1,1,Branch,SUV,Midsize
GE62437,Arizona,No,Premium,Undergraduate,Employed,F,Suburban,Single,Personal Auto,3,1,Call Center,Four-Door Car,Large
EJ77678,Oregon,No,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small
SV85652,Arizona,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,4,Call Center,Four-Door Car,Small
UL64533,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,2,2,Agent,Luxury,Midsize
PF41800,California,No,Basic,Undergraduate,Unemployed,M,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Midsize
AO98601,Washington,No,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,2,1,Agent,Two-Door Car,Small
SK67821,Oregon,No,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,1,3,Web,Four-Door Car,Midsize
YV55495,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,1,1,Branch,Four-Door Car,Midsize
KY38074,California,No,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
DM79012,Oregon,No,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Small
CM61827,Oregon,No,Extended,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Small
WC35801,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,3,1,Call Center,Four-Door Car,Midsize
QG25316,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,3,3,Call Center,Two-Door Car,Midsize
MB98372,Oregon,Yes,Basic,Undergraduate,Employed,F,Rural,Single,Corporate Auto,3,2,Agent,Two-Door Car,Midsize
IL19217,California,Yes,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small
SR38658,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,4,Agent,Luxury,Midsize
DH41343,Washington,No,Basic,Undergraduate,Employed,M,Suburban,Married,Special Auto,2,2,Call Center,Four-Door Car,Large
HG65722,Oregon,No,Premium,Postgraduate,Other,F,Rural,Married,Personal Auto,2,1,Branch,SUV,Midsize
BU27331,Arizona,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,3,Call Center,Four-Door Car,Midsize
XM45289,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,2,4,Agent,Two-Door Car,Midsize
KP34198,California,No,Extended,Undergraduate,Unemployed,F,Suburban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Midsize
SH90947,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Midsize
WE95729,Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,SUV,Small
PY51963,California,Yes,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,1,1,Web,SUV,Midsize
RB69909,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,1,4,Branch,Four-Door Car,Midsize
XR95069,Washington,No,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,3,4,Agent,Four-Door Car,Midsize
FR46645,California,No,Premium,Undergraduate,Other,M,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Small
SY17488,Arizona,No,Extended,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,3,3,Call Center,Four-Door Car,Small
AP67935,California,No,Basic,Undergraduate,Employed,M,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Midsize
FS37417,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,2,1,Call Center,SUV,Small
ML29312,Oregon,No,Extended,High School or Below,Other,F,Suburban,Divorced,Personal Auto,3,1,Call Center,SUV,Midsize
UB61619,Oregon,No,Premium,Postgraduate,Other,F,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Midsize
CD86811,Arizona,Yes,Basic,Undergraduate,Other,M,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Midsize
RU83859,California,No,Premium,Undergraduate,Other,F,Suburban,Married,Personal Auto,3,1,Call Center,Two-Door Car,Small
FG63582,Oregon,No,Extended,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Small
NN71951,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,3,1,Agent,SUV,Midsize
WB37082,Arizona,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,3,Branch,Four-Door Car,Large
SM52139,Washington,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Midsize
FL82372,Oregon,No,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,3,1,Agent,SUV,Midsize
DP45816,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Two-Door Car,Small
GW33762,Oregon,Yes,Extended,Undergraduate,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Call Center,Two-Door Car,Large
RZ33670,California,No,Premium,Undergraduate,Other,F,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Midsize
PY70169,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,3,4,Agent,SUV,Midsize
MO91628,Oregon,No,Basic,Postgraduate,Employed,M,Rural,Married,Personal Auto,2,2,Web,Two-Door Car,Large
HW87852,Oregon,No,Basic,Postgraduate,Other,M,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Midsize
HB20453,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Luxury,Midsize
BN87372,Oregon,Yes,Basic,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,3,2,Branch,Two-Door Car,Midsize
YX23800,Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small
DZ87709,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,1,2,Call Center,Four-Door Car,Midsize
XW13033,Nevada,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,1,2,Agent,Four-Door Car,Midsize
LN31673,Washington,No,Extended,Undergraduate,Employed,M,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Midsize
OM82309,California,No,Basic,Undergraduate,Employed,M,Rural,Single,Personal Auto,3,2,Branch,Luxury,Small
ZU35962,California,No,Extended,Undergraduate,Unemployed,F,Rural,Single,Personal Auto,3,3,Branch,Two-Door Car,Large
VH85817,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,3,2,Call Center,Four-Door Car,Midsize
DT85712,California,No,Basic,Postgraduate,Employed,M,Suburban,Married,Personal Auto,1,3,Branch,SUV,Midsize
YJ88573,Nevada,No,Basic,Postgraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large
SQ19467,Oregon,No,Extended,Undergraduate,Other,F,Suburban,Single,Personal Auto,3,2,Agent,Four-Door Car,Small
HF88410,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,1,Call Center,Four-Door Car,Midsize
ET79815,California,Yes,Extended,Undergraduate,Other,M,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Midsize
QC35222,California,No,Basic,Undergraduate,Employed,F,Urban,Married,Corporate Auto,2,3,Web,Four-Door Car,Midsize
CJ15590,Oregon,No,Basic,Undergraduate,Employed,F,Suburban,Divorced,Personal Auto,2,3,Branch,Four-Door Car,Midsize
OI48267,California,Yes,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Midsize
JY67916,Oregon,No,Premium,Undergraduate,Other,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Small
OE75231,Washington,Yes,Extended,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,3,2,Call Center,Two-Door Car,Midsize
CZ33664,Oregon,No,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,3,1,Agent,Four-Door Car,Midsize
WK30175,Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,1,1,Branch,Two-Door Car,Small
ON44465,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Midsize
TV87155,Oregon,No,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Large
KH48895,Arizona,No,Basic,Postgraduate,Other,F,Rural,Married,Personal Auto,3,1,Branch,SUV,Midsize
NZ30757,California,No,Basic,Undergraduate,Other,M,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Midsize
RI22468,Arizona,No,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,1,3,Web,Four-Door Car,Midsize
FZ30935,Oregon,No,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,Two-Door Car,Small
UG93476,California,Yes,Basic,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,3,1,Agent,SUV,Midsize
AB96670,California,Yes,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Midsize
XK64261,Oregon,No,Basic,Undergraduate,Employed,M,Rural,Single,Corporate Auto,3,3,Call Center,Two-Door Car,Midsize
EV68375,California,Yes,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Midsize
UN51653,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,1,Web,SUV,Midsize
TO96662,Oregon,No,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,3,1,Call Center,Four-Door Car,Small
MR52087,California,No,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,1,3,Branch,Four-Door Car,Midsize
DE75225,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,1,1,Agent,SUV,Midsize
EP80820,California,No,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Two-Door Car,Midsize
GU99037,Oregon,No,Basic,Undergraduate,Employed,M,Urban,Married,Corporate Auto,1,4,Agent,Four-Door Car,Midsize
WI57118,California,No,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,4,Agent,Four-Door Car,Small
YQ74870,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,2,2,Web,Four-Door Car,Small
MQ14219,Arizona,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,SUV,Midsize
KN20603,Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Midsize
CR48975,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Midsize
JI70886,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Agent,SUV,Midsize
VF72557,Oregon,Yes,Extended,High School or Below,Other,M,Suburban,Divorced,Personal Auto,3,2,Agent,SUV,Midsize
OX28638,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Midsize
SK55033,California,No,Basic,Undergraduate,Employed,F,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Midsize
OO88645,California,No,Extended,Undergraduate,Employed,F,Urban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Midsize
YT36855,Washington,No,Extended,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,2,3,Web,Two-Door Car,Midsize
CW82151,California,No,Basic,Undergraduate,Employed,M,Rural,Married,Personal Auto,3,1,Call Center,Luxury,Midsize
DY22043,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Two-Door Car,Small
SH36774,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,3,3,Web,Luxury,Midsize
EM43724,Nevada,No,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Midsize
FH85960,Oregon,No,Premium,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,2,1,Call Center,Four-Door Car,Midsize
XA55993,Oregon,No,Extended,Postgraduate,Employed,F,Rural,Single,Personal Auto,3,2,Branch,Four-Door Car,Midsize
GO36627,Arizona,No,Extended,Undergraduate,Employed,M,Urban,Married,Special Auto,2,1,Branch,Four-Door Car,Midsize
QH48047,Oregon,Yes,Basic,Undergraduate,Other,M,Suburban,Divorced,Personal Auto,2,2,Web,Four-Door Car,Midsize
RB50392,Washington,No,Basic,Postgraduate,Unemployed,F,Rural,Married,Personal Auto,1,2,Agent,Four-Door Car,Midsize
UH65059,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Luxury,Midsize
FV21968,Nevada,No,Basic,Undergraduate,Employed,F,Rural,Married,Special Auto,2,1,Branch,Four-Door Car,Midsize
QA87025,Oregon,No,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Midsize
TQ13499,Arizona,No,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
BU44523,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,2,1,Web,Four-Door Car,Small
MS41162,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,SUV,Midsize
PU25891,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,2,1,Branch,Luxury,Midsize
RB81636,Washington,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,2,2,Agent,Four-Door Car,Small
SX26335,Oregon,No,Extended,Undergraduate,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Four-Door Car,Midsize
AZ95587,Arizona,No,Extended,Undergraduate,Employed,F,Urban,Single,Special Auto,3,3,Branch,Four-Door Car,Small
DS81757,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,1,4,Web,Two-Door Car,Large
OJ94107,Arizona,No,Premium,Postgraduate,Employed,M,Urban,Married,Personal Auto,2,1,Call Center,SUV,Midsize
LP84436,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,2,3,Branch,Luxury,Midsize
YV64727,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,3,3,Agent,SUV,Midsize
LM19287,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Large
ZU18643,Nevada,No,Extended,Undergraduate,Employed,M,Urban,Married,Corporate Auto,2,4,Web,Four-Door Car,Midsize
AZ82578,California,No,Basic,Undergraduate,Unemployed,F,Suburban,Married,Corporate Auto,3,1,Call Center,Four-Door Car,Midsize
XC67861,Arizona,No,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,2,1,Call Center,Two-Door Car,Midsize
YC43143,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,3,2,Web,Four-Door Car,Midsize
EK59571,Oregon,Yes,Premium,Undergraduate,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Branch,Four-Door Car,Large
GD83998,Washington,No,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,2,4,Branch,Four-Door Car,Small
WA25797,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,3,2,Agent,Luxury,Midsize
PD27940,Arizona,No,Extended,High School or Below,Other,M,Suburban,Married,Personal Auto,3,4,Agent,SUV,Midsize
BS77946,Arizona,No,Extended,Undergraduate,Other,F,Rural,Married,Personal Auto,1,1,Branch,SUV,Midsize
YM50253,California,No,Basic,Undergraduate,Employed,F,Urban,Single,Personal Auto,3,2,Branch,Four-Door Car,Midsize
NR15332,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,2,Web,Four-Door Car,Small
RC62865,Oregon,No,Extended,Undergraduate,Employed,M,Rural,Single,Personal Auto,2,3,Agent,Four-Door Car,Midsize
CC15295,Oregon,No,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small
KA61892,Arizona,Yes,Basic,Undergraduate,Other,M,Suburban,Married,Personal Auto,3,2,Agent,Luxury,Midsize
OS94884,Arizona,No,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,2,1,Web,Two-Door Car,Large
ND87334,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,3,2,Agent,Two-Door Car,Midsize
ML93326,Washington,No,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,1,1,Agent,SUV,Midsize
YL74911,California,Yes,Basic,Undergraduate,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Agent,SUV,Midsize
JP69864,Washington,Yes,Basic,Undergraduate,Other,F,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Midsize
HL53154,California,No,Extended,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Midsize
RI78966,Oregon,No,Basic,Postgraduate,Other,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
IC13702,California,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small
BE10809,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,1,1,Agent,Four-Door Car,Small
HT87217,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,2,3,Agent,Four-Door Car,Midsize
TH95618,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Midsize
TS19868,California,No,Basic,Undergraduate,Other,M,Suburban,Married,Personal Auto,1,4,Branch,Four-Door Car,Midsize
LP45550,Oregon,No,Premium,Postgraduate,Other,F,Urban,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Midsize
QR87004,Nevada,No,Basic,Undergraduate,Employed,F,Rural,Divorced,Personal Auto,3,3,Agent,Four-Door Car,Midsize
OE75747,Nevada,No,Basic,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,2,3,Agent,Four-Door Car,Small
DX91392,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,2,2,Call Center,Four-Door Car,Midsize
AB72731,California,No,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,2,2,Call Center,Luxury,Midsize
RU49126,Washington,No,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,2,2,Agent,SUV,Midsize
IS12901,Arizona,No,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Midsize
IX37561,Washington,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,3,Web,Two-Door Car,Midsize
HH90090,California,No,Basic,Undergraduate,Employed,F,Suburban,Divorced,Personal Auto,2,2,Call Center,Luxury,Small
IU25463,California,No,Premium,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Midsize
KC11055,Nevada,No,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Luxury,Midsize
PD33979,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Large
NK71023,Nevada,No,Extended,Undergraduate,Employed,M,Suburban,Single,Personal Auto,2,4,Agent,Four-Door Car,Small
AB13432,California,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,SUV,Midsize
OZ97704,California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,3,3,Call Center,SUV,Small
UF46533,California,No,Basic,Undergraduate,Employed,F,Suburban,Single,Corporate Auto,3,2,Branch,SUV,Midsize
XP47431,Arizona,Yes,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,1,2,Agent,SUV,Midsize
GK73582,California,No,Extended,Undergraduate,Employed,F,Urban,Single,Personal Auto,1,3,Branch,Four-Door Car,Midsize
RV98763,Oregon,No,Extended,Undergraduate,Employed,M,Urban,Married,Personal Auto,3,3,Branch,Four-Door Car,Midsize
II62831,California,No,Basic,Postgraduate,Employed,M,Urban,Married,Special Auto,2,4,Web,SUV,Midsize
XK33449,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special Auto,3,4,Branch,Two-Door Car,Small
TR85083,California,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Midsize
EO95328,Oregon,No,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,2,4,Agent,Two-Door Car,Small
EN21086,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,2,1,Branch,Four-Door Car,Small
YL83902,Washington,No,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
AZ62651,Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Corporate Auto,3,4,Web,Luxury,Midsize
ZW25874,Oregon,No,Basic,Undergraduate,Employed,M,Rural,Single,Special Auto,3,1,Branch,Four-Door Car,Midsize
EH41854,Washington,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,1,3,Branch,Two-Door Car,Midsize
MW70227,California,Yes,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,1,1,Branch,Four-Door Car,Midsize
SL22297,California,No,Premium,Postgraduate,Other,F,Suburban,Single,Personal Auto,1,1,Call Center,SUV,Midsize
RV14138,Nevada,Yes,Extended,Undergraduate,Other,F,Suburban,Single,Personal Auto,3,1,Agent,SUV,Midsize
UO62808,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,1,2,Call Center,Four-Door Car,Midsize
ZX64745,California,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,1,Agent,SUV,Midsize
FL34139,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,2,1,Call Center,Four-Door Car,Midsize
TS11219,California,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,1,Agent,SUV,Midsize
XX12304,California,No,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,1,2,Branch,Four-Door Car,Midsize
SD64087,California,No,Premium,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,2,1,Branch,SUV,Small
OY38576,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,3,2,Agent,SUV,Midsize
BG76355,Washington,No,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,3,3,Web,Four-Door Car,Midsize
IP66913,California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,3,2,Agent,Two-Door Car,Small
LE95702,California,Yes,Basic,Undergraduate,Other,M,Suburban,Single,Special Auto,3,1,Agent,Four-Door Car,Midsize
KX54357,Washington,No,Extended,Undergraduate,Employed,M,Urban,Married,Corporate Auto,3,2,Web,Two-Door Car,Small
EZ78112,California,No,Basic,High School or Below,Employed,F,Urban,Single,Special Auto,3,1,Agent,Four-Door Car,Midsize
XN16891,Arizona,No,Basic,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,1,4,Agent,Four-Door Car,Small
XK31350,Oregon,No,Extended,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,1,4,Call Center,Four-Door Car,Large
CC30924,Oregon,No,Premium,Undergraduate,Employed,M,Urban,Married,Corporate Auto,3,4,Agent,Luxury,Small
IT78748,Oregon,Yes,Extended,High School or Below,Other,F,Suburban,Married,Special Auto,3,1,Agent,Two-Door Car,Small
KY33386,Washington,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Web,Luxury,Midsize
CO44221,California,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,1,2,Branch,Four-Door Car,Midsize
